product_id,name,price_text,price,sold_text,sold_est,rating_text,reviews_text,product_url
500,แคปซูล Xemenry Astaxanthin ส่งเสริมสุขภาพผิวและดวงตา ฤทธิ์ต้านอนุมูลอิสระ บำรุงสุขภาพหัวใจและหลอดเลือดและความจำ,฿176.09,176.09,(1)China,1,,,https://www.lazada.co.th/products/pdp-i5775764997.html
519,"NatureBell Astaxanthin 12mg, 240 Softgels","฿2,000.00",2000,(1)ประจวบคีรีขันธ์,1,,,https://www.lazada.co.th/products/pdp-i4955958744.html
539,"Niacinamide, เซรั่มไวท์เทนนิ่ง, Astaxanthin, ให้ความชุ่มชื้น, กระฝ้าและกระจัดสิว, Hyuric Acid, โปรโตโลชั่นบำรุงผิวหน้า",฿13.00,13,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5826470433.html
563,ISNIH Astaxanthin Gummy 6mg อาหารเสริมแอสตาแซนธิน ลดเลือนริ้วรอย เสริมสร้างสุขภาพกล้ามเนื้อ 60 Gummies,฿817.70,817.7,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5745637517.html
577,"Doctor's Best, Astaxanthin with AstaReal, 6 mg, 90 Veggie Softgels","฿1,290.00",1290,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5533295547.html
602,XiXi Astaxanthin นุ่มให้ความชุ่มชื่นยืดหยุ่นเอสเซนต์บำรุงผิวกล่องให้ความชุ่มชื้นฉ่ำน้ำ,฿155.00,155,(1)China,1,,,https://www.lazada.co.th/products/pdp-i5788081396.html
636,1 แถม 1 Auswelllife AWL Astaxanthin 60 mg from USA แอสตาแซนธิน จากสาหร่ายสีแดง บำรุงผิว สายตา ชะลอวัย บำรุงจากภายในให้ผิวสวยภายนอก,฿390.00,390,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5734391112.html
645,NUBOLIC Astaxanthin Softgel 30 Capsules เอ็นบีแอล แอสตาแซนธิน ซอฟเจล 30 แคปซูล,฿350.00,350,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5088607598.html
647,Omilay Astaxanthin Gummy with Vitamin C ปรับปรุง หัวใจ Eye สุขภาพ บำรุงผิว สกิน แอสตาแซนธิน อาหารเสริม ข้อเสนอ ทุกวัน โภชนาการ Strawberry Flavor 60เม็ด,฿379.00,379,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5749151803.html
656,Cream Dara Astaxanthin Reboot X5 ครีมดาราผลิตภัณฑ์บำรุงผิวหน้า จุดด่างดำจางลง ลดเลือนริ้วรอย แอสตร้าแซนทีน รีบูต 30g,฿179.00,179,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5512502618.html
663,"Nutrex Hawaii, BioAstin, Hawaiian Astaxanthin, 12 mg, 50 Soft Gels","฿1,290.00",1290,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5492749872.html
697,ASTAXANTHIN 6mg plus CoQ10 + Quercetin และ Ferti W,"฿1,880.00",1880,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5828429945.html
728,CREAM DARA ASTAXANTHIN ครีมบำรุงผิวสูตรพิเศษลดเลือนริ้วรอย แอสต้าแซนทีน รีบูต เอ็กซ์ไฟว์ ขนาด 30 ml. ครีมดารา,฿390.00,390,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5478434088.html
742,แอสตาแซนธิน คอลลาเจน วิตามิน ชะลอวัย ริ้วรอยจุดด่างดำ ต้านอนุมูลอิสร AstaGen Plus Astaxanthin + Collagen by Manymores,"฿1,353.00",1353,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i4871884065.html
752,ซื้อ 2 แถม 2 ออสเวลไลฟ์ แอสต้าแซนติน 30 เม็ด AUSWELLLIFE ASTAXANTHIN,"฿1,390.00",1390,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i4770379503.html
767,อาหารเสริมแอสตาแซนธิน - แอสตาแซนธิน 24 มก. อาหารเสริมต้านอนุมูลอิสระเพื่อสุขภาพผิวและดวงตา บำรุงข้อต่อและระบบภูมิคุ้มกัน,฿167.00,167,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5792990134.html
818,"[พร้อมส่ง แท้100%] Nutrex Hawaii, BioAstin, Hawaiian Astaxanthin, แอสตาแซนทินจากฮาวาย 12 mg (50/75 Soft Gels)","฿1,390.00",1390,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5645519975.html
830,Bbeeaaauu Astaxanthin แอสตาแซนธินธรรมชาติ ปรับปรุงดวงตา ข้อต่อ สุขภาพผิว และระดับพลังงาน - วิตามินหัวใจและสมอง,฿399.00,399,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5548053366.html
867,PPRIM Asta gluta mix พีพริม แอสต้า กลูต้า มิกซ์ Astaxantin 6 mg. ชะลอวัย ลดรอย,฿590.00,590,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5101260730.html
877,แอสตาแซนติน Astaxanthin + Astaxanthin & Grape Seed Oil Extract High Potency 24 mg 75 Softgels (Neviss®),"฿1,598.00",1598,(1)เชียงใหม่,1,,,https://www.lazada.co.th/products/pdp-i5311990317.html
895,สาหร่ายแดง Natural Astaxanthin 5 mg 60 Softgels - Solgar,"฿1,835.00",1835,(1)เชียงใหม่,1,,,https://www.lazada.co.th/products/pdp-i2835372667.html
931,WinkWhite Astaxanthin 30 Capsules ผลิตภัณฑ์เสริมอาหารสูตรเข้มข้น 6mg. 30แคปซูล,฿171.00,171,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5782171032.html
933,พร้อมส่ง Sports Research Astaxanthin Triple Strength 12 mg 60 Softgels,"฿1,400.00",1400,(1)นนทบุรี,1,,,https://www.lazada.co.th/products/pdp-i5149842941.html
976,Swisse สวิสเซ แอสต้าแซนธิน + กลูต้า 30 แคปซูล (แอสต้าแซนธิน 6 มก.) Astaxanthin + Gluta บำรุงผิว กระจ่างใส,฿615.00,615,(1)เชียงใหม่,1,,,https://www.lazada.co.th/products/pdp-i5725957977.html
983,Dr.Pong Astaxanthin 6 mg AstaREAL from Japan แอสตาแซนธิน จากญี่ปุ่น,฿350.00,350,(1)หนองบัวลำภู,1,,,https://www.lazada.co.th/products/pdp-i5273093645.html
997,[แอสต้า3 + มะเขือเทศ2] Supurra Astaxanthin แอสต้าแซนธิน 6 มก. ไลโคปีน ผิว สวย ใส ตราสุเพอร์ร่า ส่งฟรี #Pro [C27],฿690.00,690,(1)กาญจนบุรี,1,,,https://www.lazada.co.th/products/pdp-i5570290557.html
1012,KIRKLAND Astaxanthin Softgels ส่งเสริมสุขภาพหัวใจ เสริมสร้างกล้ามเนื้อ และต่อต้านวัย,฿232.00,232,(1)เชียงใหม่,1,,,https://www.lazada.co.th/products/pdp-i5661225080.html
1017,Nuriv Astaxanthin Multiplex (30แคปซูล )นูรีฟ แอสต้าแซนธิน มัลติเพล็กซ,฿285.00,285,(1)ร้อยเอ็ด,1,,,https://www.lazada.co.th/products/pdp-i5596875736.html
1062,แอสตาแซนธิน 6 มก. 30/60/120 แคปซูลเจล ส่งเสริมสุขภาพหัวใจและหลอดเลือด เร่งการเผาผลาญ ปรับปรุงการไหลเวียนโลหิต เพิ่มพลังงาน เสริมสร้างระบบภูมิคุ้มกัน ปราศจากจีเอ็มโอ ปราศจากกลูเตน,฿178.09,178.09,(1)China,1,,,https://www.lazada.co.th/products/pdp-i5775793689.html
1093,Astaxantin 12mg. California Gold Nutrition,฿799.00,799,(1)นนทบุรี,1,,,https://www.lazada.co.th/products/pdp-i5671728255.html
1113,แอสตาแซนธิน แอสตาแมกซ์ วิตามิน บำลุง ผิว อาหารเสริม ริ้วลอย Astaxanthin วิตามินซี สกัดจาก สาหร่ายสีแดง (30 แคปซูล),"฿1,160.00",1160,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5648237619.html
1141,Lshealth Astaxanthin 12mg(120Cps) Extra Strength-ราชินีสารต้านอนุมูลอิสระ ชะลอวัย ต้านแก่ ดูแลหัวใจ,฿390.00,390,(1)นนทบุรี,1,,,https://www.lazada.co.th/products/pdp-i5239447337.html
1164,"พิคโนจินอล + แอสต้าแซนธิน + เรสเวอราทรอล Pycnogenol, Astaxanthin and Resveratrol ตรา HISOVIT 60 แคปซูล",฿580.00,580,(1)นครราชสีมา,1,,,https://www.lazada.co.th/products/pdp-i5291809144.html
